38.020000457763600000000039.25000000014 2016-03-0138.5200004570000039.25
38.700000762939439.15999984741000000012 2016-03-0239.20000076239.1599998
38.629001617431639.02000045776000000007 2016-03-0338.95999908439.0200004
38.755001068115239.04000091552000000007 2016-03-0438.77000045739.0400009
38.720001220703138.97999954223000000005 2016-03-0738.77999877938.9799995
38.110000610351538.15999984741000000006 2016-03-0838.68999862638.1599998
37.819999694824238.56999969482000000004 2016-03-0938.47999954238.5699996
37.479999542236338.49000167846000000007 2016-03-1038.65999984738.4900016
38.849998474121039.49000167846000000009 2016-03-1100000000003939.4900016
39.040000915527339.38000106811000000005 2016-03-1439.40000152539.3800010
39.049999237060539.27000045776000000005 2016-03-1539.04999923739.2700004
38.569999694824239.84000015258000000006 2016-03-1639.09000015239.8400001
39.169998168945339.93000030517000000009 2016-03-1739.84999847439.9300003
38.689998626708939.40999984741000000015 2016-03-1839.86000061039.4099998
39.200000762939441.13999938964000000013 2016-03-2139.40999984741.1399993
40.630001068115241.31999969482000000010 2016-03-2240.66999816841.3199996
40.040000915527340.52000045776000000008 2016-03-2341.06000137340.5200004
000000000000003738.91999816894000000015 2016-03-2439.40000152538.9199981
38.619998931884738.74000167846000000006 2016-03-2838.81000137338.7400016
38.299999237060539.52999877929000000005 2016-03-2938.74000167839.5299987
38.994998931884739.04000091552000000005 2016-03-3039.93999862639.0400009
38.430000305175738.59999847412000000008 2016-03-3138.74000167838.5999984
38.400001525878939.40000152587000000006 2016-04-0138.50999832139.4000015
38.409999847412138.79000091552000000005 2016-04-0439.36000061038.7900009
37.700000762939438.54999923706000000005 2016-04-0538.34999847438.5499992
0000000000038.2539.15999984741000000005 2016-04-0638.45000076239.1599998
38.119998931884738.27999877929000000007 2016-04-0738.84999847438.2799987
38.099998474121038.40999984741000000007 2016-04-0838.61000061038.4099998
38.029998779296838.06000137329000000005 2016-04-1138.33000183138.0600013
37.340000152587837.79999923706000000007 2016-04-1238.31999969437.7999992
38.189998626708938.79000091552000000007 2016-04-13000000038.2538.7900009
38.415000915527338.63999938964000000004 2016-04-1438.93999862638.6399993
38.290000915527338.58000183105000000005 2016-04-1538.68999862638.5800018
38.430000305175739.63999938964000000006 2016-04-1838.56000137339.6399993
38.974998474121039.24000167846000000005 2016-04-19000000039.7539.2400016
39.169998168945340.08000183105000000007 2016-04-2039.24000167840.0800018
40.013999938964840.09999847412000000005 2016-04-2140.20000076240.0999984
39.680000305175740.31000137329000000006 2016-04-2239.72000122040.3100013
39.540000915527339.81999969482000000007 2016-04-2540.27000045739.8199996
39.330001831054639.72999954223000000005 2016-04-2639.56999969439.7299995
39.200000762939440.00999832153000000012 2016-04-2739.68000030540.0099983
39.909999847412140.06999969482000000017 2016-04-2800000000004140.0699996
38.590000152587839.18000030517000000010 2016-04-2939.70999908439.1800003
38.729999542236339.02000045776000000006 2016-05-0239.06999969439.0200004
38.139999389648438.36000061035000000009 2016-05-0338.63000106838.3600006
37.869998931884738.31000137329000000008 2016-05-0438.06999969438.3100013
38.319999694824238.95000076293000000007 2016-05-0538.38000106838.9500007
38.610000610351539.47999954223000000006 2016-05-0638.70999908439.4799995
39.330001831054639.61999893188000000005 2016-05-0939.41999816839.6199989
39.240001678466840.11000061035000000006 2016-05-1039.61999893140.1100006
