0.097222223877900.075258783996000000241 1990-10-190.09809027610.09982638
0.099826388061040.077876478433000000127 1990-10-220.10069444770.10329861
00000000.10156250.079512543976000000102 1990-10-230.10329861190.10546875
00000000.10156250.081803023815000000066 1990-10-240.10329861190.10850694
0.107638888061040.081803023815000000083 1990-10-2500000.1093750.10850694
0.100694447755810.075913213193000000094 1990-10-260.10763888800.10069444
0.096354164183130.073295511305000000037 1990-10-290.10069444770.09722222
0.092013888061040.074604354798000000090 1990-10-300.09722222380.09895833
0.100694447755810.077222049236000000081 1990-10-310000.10156250.10243055
0.099826388061040.077222049236000000035 1990-11-010.10069444770.10243055
00000000.10156250.079185344278000000027 1990-11-020.10243055220.10503472
0.103298611938950.081803023815000000037 1990-11-050.10503472380.10850694
0.108506947755810.083111889660000000035 1990-11-0600000.1093750.11024305
0.104166664183130.078530900180000000118 1990-11-070.11067708580.10416666
0.111111111938950.088674478232000000701 1990-11-080.11197916410.11762152
0.119791664183130.092273809015000000141 1990-11-090.11979166410.12239583
0.120659723877900.091619372367000000111 1990-11-120.12152777610.12152777
0.119791664183130.092928230762000000066 1990-11-130.12152777610.12326388
0.121527776122090.093909867107000000180 1990-11-140.12239583580.12456597
0.123263888061040.095545917749000000096 1990-11-1500000000.1250.12673610
0.125868052244180.095545917749000000179 1990-11-160.12673610440.12673610
0.127604171633720.097509182989000000045 1990-11-190.12847222380.12934027
0.127604171633720.096200369298000000047 1990-11-200.12934027610.12760417
0.122395835816860.095545917749000000071 1990-11-210.12760417160.12673610
0.126736104488370.096200369298000000007 1990-11-230.12760417160.12760417
000000000000.1250.095873132348000000041 1990-11-260.12586805220.12717014
0.126736104488370.103399023413000000128 1990-11-270.12717014550.13715277
0.135416671633720.102744609117000000126 1990-11-280.13715277610.13628472
0.131076395511620.100126914680000000084 1990-11-290.136284723800.1328125
0.131076395511620.103399023413000000102 1990-11-300.13194444770.13715277
0.137152776122090.106671139597000000125 1990-12-030.13888889550.14149305
0.141493052244180.108307197690000000066 1990-12-040.14236110440.14366319
000000000.1406250.108634404838000000095 1990-12-050.14409722380.14409722
0.143229171633720.109288863837000000151 1990-12-060.14583332830.14496527
0.143229171633720.107979983091000000036 1990-12-070.14496527610.14322917
0.142361104488370.107325561344000000005 1990-12-100.14236110440.14236110
0.138888895511620.105689510703000000058 1990-12-110.14322917160.14019097
0.138020828366270.108634404838000000067 1990-12-120.13888889550.14409722
0.143229171633720.113215379416000000131 1990-12-130.14496527610.15017360
0.147569447755810.117796361446000000125 1990-12-140.15017360440000.15625
0.151909723877900.116487540304000000105 1990-12-170.15451389550.15451389
0.147569447755810.113869823515000000083 1990-12-180.15451389550.15104167
0.150173604488370.117141947150000000093 1990-12-190.15277777610.15538194
0.151909723877900.115178667008000000111 1990-12-200.15364582830.15277777
0.149305552244180.115178667008000000048 1990-12-210.15364582830.15277777
0.150173604488370.113869823515000000014 1990-12-240.15190972380.15104167
0.145833328366270.109943270683000000058 1990-12-260.15017360440.14583332
0.144965276122090.112560950219000000056 1990-12-270.14583332830.14930555
0.149305552244180.115505866706000000063 1990-12-280.14930555220.15321180
0.152777776122090.117469154298000000029 1990-12-310.15364582830.15581597
0.151909723877900.114524230360000000063 1991-01-020.15538194770.15190972
0.145833328366270.109943270683000000104 1991-01-030.15190972380.14583332
0.139756947755810.106671139597000000194 1991-01-040.14496527610.14149305
0.136284723877900.104053467512000000089 1991-01-0700000.1406250.13802082
0.138020828366270.107979983091000000064 1991-01-080.13802082830.14322917
0.141493052244180.107325561344000000089 1991-01-090.14670139550.14236110
0.141493052244180.108634404838000000049 1991-01-100.14409722380.14409722
0.141493052244180.107325561344000000033 1991-01-110.14409722380.14236110
000000000.1406250.108634404838000000059 1991-01-1400000.1406250.14409722
0.144097223877900.116814687848000000085 1991-01-150.14409722380.15494792
0.154513895511620.122377306222000000105 1991-01-160.15538194770.16232639
0.164930552244180.128267124295000000178 1991-01-170.17013889550.17013889
0.165798604488370.130230441689000000110 1991-01-180.16840277610.17274305
0.171006947755810.138083487749000000085 1991-01-2100000.1718750.18315972
0.177951395511620.135138571262000000145 1991-01-220.18315972380.17925347
0.175347223877900.133502557873000000108 1991-01-230.17881944770.17708332
0.176215276122090.132848113775000000068 1991-01-240.17795139550.17621527
0.176215276122090.140701204538000000107 1991-01-250.17621527610.18663194
0.184461802244180.145282149314000000148 1991-01-280.18489582830.19270832
0.185763895511620.143973350524000000171 1991-01-290.19270832830.19097222
0.190972223877900.149863123893000000157 1991-01-300.19184027610.19878472
0.198350697755810.153135254979000000138 1991-01-310.1996527761000.203125
0.200520828366270.152480870485000000118 1991-02-0100000.2031250.20225694
0.197916671633720.151171952486000000134 1991-02-040.20225694770.20052082
0.201388895511620.152480870485000000094 1991-02-050.20399305220.20225694
0.197048604488370.153789699077000000113 1991-02-060.20052082830.20399305
0.197048604488370.148881539702000000144 1991-02-070.20572917160.19748264
00000000.19531250.154444098472000000503 1991-02-080.20399305220.20486110
0.199652776122090.150844767689000000272 1991-02-110.20486110440.20008680
0.199652776122090.155098527669000000513 1991-02-120.20052082830.20572917
0.204861104488370.157716229557000000166 1991-02-130.20486110440.20920139
0.202256947755810.153135254979000000171 1991-02-140.2083333283000.203125
0.201388895511620.153135254979000000195 1991-02-150.2022569477000.203125
0.199652776122090.151826426386000000157 1991-02-1900000.2031250.20138889
0.200520828366270.151171952486000000060 1991-02-200.20052082830.20052082
0.197916671633720.149208709597000000075 1991-02-210.20138889550.19791667
0.191840276122090.148554295301000000299 1991-02-220.19704860440.19704860
00000000.19531250.148554295301000000097 1991-02-250.19791667160.19704860
0.190104171633720.145282149314000000111 1991-02-260.19704860440.19270832
0.183159723877900.141028419137000000195 1991-02-270.19097222380.18706597
00000000000.18750.146591022610000000132 1991-02-280.18836805220.19444444
0.193576395511620.149208709597000000091 1991-03-010000.19531250.19791667
0.198784723877900.151171952486000000060 1991-03-040.20052082830.20052082
0.199652776122090.156407356262000000138 1991-03-050.20138889550.20746527
0.197916671633720.149208709597000000164 1991-03-060.20920139550.19791667
0.184027776122090.143318891525000000379 1991-03-070.19791667160.19010417
0.190972223877900.145282149314000000132 1991-03-080.19270832830.19270832
00000000.17968750.138737902045000000154 1991-03-110.19184027610.18402777
000000000.1718750.129575997591000000223 1991-03-120.1822916716000.171875
0.172743052244180.136774674057000000231 1991-03-130.17361110440.18142360
0.168402776122090.129575997591000000365 1991-03-140.1848958283000.171875
0.163194447755810.125649452209000000219 1991-03-150.17447917160.16666667
0.164930552244180.133502557873000000120 1991-03-180.16840277610.17708332
0.170138895511620.136120229959000000083 1991-03-190.17361110440.18055555
0.182291671633720.147899866104000000200 1991-03-200.18576389550.19618055
0.180555552244180.138737902045000000163 1991-03-210.19965277610.18402777
0.177083328366270.134811401367000000072 1991-03-220.18055555220.17881944
0.168402776122090.128921538591000000087 1991-03-250.18055555220.17100694
0.168402776122090.130884811282000000185 1991-03-260.16840277610.17361110
0.164930552244180.138737902045000000478 1991-03-270.17361110440.18402777
0.166666671633720.127612680196000000301 1991-03-280.18402777610.16927082
0.145833328366270.116487540304000000326 1991-04-010.16666667160.15451389
0.159722223877900.136120229959000000350 1991-04-020.16145832830.18055555
0.175347223877900.137429103255000000188 1991-04-030.18229167160.18229167
0.175347223877900.133502557873000000147 1991-04-040.17881944770.17708332
0.159722223877900.131539300084000000168 1991-04-050.17708332830.17447917
0.170138895511620.136120229959000000040 1991-04-0800000.1718750.18055555
0.175347223877900.133502557873000000045 1991-04-090.18055555220.17708332
