0.809895813465110.000570153584000000000 1973-12-170.809895813400.8203125
0.809895813465110.000570153584000000001 1973-12-180000.820312500.8203125
00000000.82031250.000590063398000000001 1973-12-190000.82031250.84895831
0.841145813465110.000590063398000000001 1973-12-200.84895831340.84895831
0.848958313465110.000590063398000000000 1973-12-210.84895831340.84895831
0.841145813465110.000584633438000000000 1973-12-240.84895831340.84114581
000000000.8593750.000611783587000000000 1973-12-2600000.8593750.88020831
000000000.8906250.000631694041000000000 1973-12-2700000.8906250.90885418
000000000.8906250.000626264140000000001 1973-12-280.90885418650.90104168
0.869791686534880.000626264140000000001 1973-12-310.90104168650.90104168
0.880208313465110.000626264140000000001 1974-01-020.90104168650.90104168
000000000.8906250.000638934434000000002 1974-01-030.90104168650.91927081
0.901041686534880.000626264140000000003 1974-01-040.91927081340.90104168
0.869791686534880.000604543834000000003 1974-01-070.90104168650.86979168
0.841145813465110.000584633438000000002 1974-01-080.86979168650.84114581
00000000.78906250.000562913599000000002 1974-01-090.83072918650.80989581
0.770833313465110.000543003377000000001 1974-01-100.80989581340000.78125
0.770833313465110.000548433628000000002 1974-01-11000000.7812500.7890625
0000000000.781250.000548433628000000000 1974-01-140000.789062500.7890625
00000000.78906250.000555673614000000000 1974-01-150000.78906250.79947918
0.799479186534880.000555673614000000001 1974-01-160.79947918650.79947918
0.809895813465110.000577393628000000002 1974-01-170.80989581340.83072918
00000000.82031250.000570153584000000001 1974-01-180.830729186500.8203125
0000000000.781250.000548433628000000001 1974-01-210.809895813400.7890625
00000000.78906250.000555673614000000002 1974-01-220000.78906250.79947918
00000000.78906250.000555673614000000000 1974-01-230.79947918650.79947918
00000000.78906250.000555673614000000000 1974-01-240.79947918650.79947918
00000000.78906250.000548433628000000000 1974-01-250.799479186500.7890625
00000000.78906250.000555673614000000000 1974-01-280000.78906250.79947918
00000000.78906250.000548433628000000000 1974-01-290.799479186500.7890625
0.799479186534880.000562913599000000001 1974-01-300.79947918650.80989581
00000000.78906250.000548433628000000001 1974-01-310.809895813400.7890625
0000000000.781250.000548433628000000000 1974-02-010000.789062500.7890625
0000000000.781250.000548433628000000000 1974-02-040000.789062500.7890625
0.770833313465110.000535763741000000000 1974-02-050000.78906250.77083331
0.760416686534880.000528522999000000000 1974-02-060.77083331340.76041668
0.760416686534880.000528522999000000000 1974-02-070.76041668650.76041668
0.760416686534880.000528522999000000001 1974-02-080.76041668650.76041668
0.760416686534880.000528522999000000000 1974-02-110.76041668650.76041668
0.760416686534880.000543003377000000001 1974-02-120.76041668650000.78125
0.770833313465110.000543003377000000001 1974-02-13000000.781250000.78125
0.770833313465110.000535763741000000000 1974-02-14000000.781250.77083331
0.770833313465110.000548433628000000000 1974-02-150.770833313400.7890625
0.770833313465110.000535763741000000003 1974-02-190000.78906250.77083331
0.760416686534880.000543003377000000000 1974-02-200.77083331340000.78125
0.770833313465110.000548433628000000000 1974-02-21000000.7812500.7890625
00000000.78906250.000562913599000000001 1974-02-220000.78906250.80989581
0.799479186534880.000562913599000000000 1974-02-250.80989581340.80989581
