25.079999923706025.12999916076000000039 2013-03-25000000025.7525.1299991
25.030000686645525.20999908447000000026 2013-03-2625.07999992325.2099990
24.719999313354426.09000015258000000052 2013-03-2700000000002526.0900001
25.520000457763625.57999992370000000028 2013-03-2826.09000015225.5799999
25.280000686645525.53000068664000000022 2013-04-0125.62999916025.5300006
25.299999237060525.42000007629000000035 2013-04-0225.77000045725.4200000
25.700000762939400000000026.25000000048 2013-04-0325.8299999230000026.25
26.110000610351527.06999969482000000082 2013-04-0426.62000083927.0699996
26.610000610351527.38999938964000000064 2013-04-0526.86000061027.3899993
26.629999160766626.85000038146000000027 2013-04-0827.19000053426.8500003
26.420000076293926.59000015258000000021 2013-04-0926.57999992326.5900001
26.899999618530227.56999969482000000045 2013-04-1027.01000022827.5699996
0000000000027.2528.02000045776000000033 2013-04-1127.47999954228.0200004
27.239999771118127.39999961853000000028 2013-04-1200000000002827.3999996
26.360000610351526.52000045776000000030 2013-04-1527.15999984726.5200004
26.399999618530226.92000007629000000027 2013-04-1626.80999946526.9200000
26.389999389648426.62999916076000000026 2013-04-1726.64999961826.6299991
25.149999618530225.69000053405000000039 2013-04-1826.81999969425.6900005
25.329999923706025.72999954223000000020 2013-04-1925.62000083925.7299995
25.700000762939425.96999931335000000025 2013-04-2225.80999946525.9699993
25.770000457763625.97999954223000000025 2013-04-2326.21999931325.9799995
25.799999237060526.11000061035000000019 2013-04-2425.93000030526.1100006
000000000000002626.13999938964000000017 2013-04-2526.06999969426.1399993
26.600000381469726.85000038146000000033 2013-04-2626.60000038126.8500003
26.860000610351526.97999954223000000029 2013-04-2927.15999984726.9799995
27.010000228881827.77000045776000000036 2013-04-3027.12999916027.7700004
27.309999465942327.43000030517000000064 2013-05-0127.85000038127.4300003
27.979999542236328.96999931335000000104 2013-05-0228.01000022828.9699993
28.149999618530228.30999946594000000058 2013-05-0329.04000091528.3099994
27.479999542236327.56999969482000000043 2013-05-0628.32999992327.5699996
26.850000381469726.88999938964000000041 2013-05-0727.54999923726.8899993
26.649999618530227.12000083923000000034 2013-05-0826.87999916027.1200008
26.850000381469727.04000091552000000033 2013-05-0927.07999992327.0400009
26.569999694824226.68000030517000000030 2013-05-1027.13999938926.6800003
26.530000686645526.81999969482000000029 2013-05-1326.60000038126.8199996
26.819999694824227.06999969482000000024 2013-05-1426.88999938927.0699996
26.399999618530226.60000038146000000030 2013-05-1526.92000007626.6000003
25.899999618530226.12999916076000000035 2013-05-1626.47999954226.1299991
26.200000762939400000000026.25000000029 2013-05-1726.3999996180000026.25
25.690000534057625.76000022888000000042 2013-05-2026.18000030525.7600002
25.590000152587825.65999984741000000026 2013-05-2125.87000083925.6599998
24.920000076293925.15999984741000000045 2013-05-2225.64999961825.1599998
24.770000457763625.05999946594000000037 2013-05-2324.79999923725.0599994
24.079999923706024.30999946594000000058 2013-05-2424.96999931324.3099994
23.920000076293924.10000038146000000050 2013-05-2824.54000091524.1000003
23.260000228881823.31999969482000000064 2013-05-2923.79000091523.3199996
23.930000305175724.54999923706000000060 2013-05-3024.12999916024.5499992
24.270000457763624.35000038146000000035 2013-05-3124.62999916024.3500003
23.709999084472623.85000038146000000035 2013-06-0324.27000045723.8500003
23.319999694824223.52000045776000000034 2013-06-0423.88999938923.5200004
22.790000915527322.89999961853000000053 2013-06-0523.35000038122.8999996
22.670000076293922.96999931335000000031 2013-06-0622.98999977122.9699993
22.860000610351523.29000091552000000038 2013-06-0723.03000068623.2900009
23.989999771118124.32999992370000000058 2013-06-1024.05999946524.3299999
000000000000002424.03000068664000000029 2013-06-1124.03000068624.0300006
23.579999923706023.77000045776000000026 2013-06-1224.15999984723.7700004
23.270000457763623.72999954223000000031 2013-06-1323.71999931323.7299995
23.260000228881823.62999916076000000030 2013-06-1423.55999946523.6299991
0000000000023.7524.02000045776000000033 2013-06-1723.90999984724.0200004
24.079999923706024.20999908447000000036 2013-06-1824.09000015224.2099990
24.100000381469724.30999946594000000031 2013-06-1924.20000076224.3099994
23.649999618530223.89999961853000000042 2013-06-2024.28000068623.8999996
24.049999237060524.53000068664000000045 2013-06-2124.59000015224.5300006
23.379999160766623.94000053405000000040 2013-06-2423.95000076223.9400005
24.040000915527300000000024.25000000024 2013-06-2524.1399993890000024.25
23.989999771118124.15999984741000000029 2013-06-2624.51000022824.1599998
24.209999084472624.65999984741000000034 2013-06-2724.23999977124.6599998
24.420000076293924.87999916076000000096 2013-06-2824.68000030524.8799991
24.620000839233424.80999946594000000020 2013-07-0124.96999931324.8099994
24.299999237060524.40999984741000000018 2013-07-0224.70000076224.4099998
24.149999618530224.52000045776000000010 2013-07-0324.21999931324.5200004
24.200000762939424.37000083923000000020 2013-07-0524.64999961824.3700008
24.420000076293924.70999908447000000027 2013-07-0824.46999931324.7099990
25.030000686645525.47999954223000000030 2013-07-0925.06999969425.4799995
25.469999313354425.79999923706000000026 2013-07-1025.57999992325.7999992
25.450000762939425.80999946594000000026 2013-07-1125.95999908425.8099994
25.549999237060525.90999984741000000016 2013-07-1225.73999977125.9099998
25.649999618530226.28000068664000000024 2013-07-1525.93000030526.2800006
26.010000228881826.31999969482000000030 2013-07-1626.38999938926.3199996
26.299999237060526.64999961853000000021 2013-07-1726.37000083926.6499996
26.120000839233426.18000030517000000024 2013-07-18000000026.7526.1800003
25.600000381469725.87999916076000000046 2013-07-1925.81999969425.8799991
25.719999313354426.04999923706000000027 2013-07-2225.98999977126.0499992
25.969999313354426.12999916076000000028 2013-07-2326.10000038126.1299991
26.049999237060526.51000022888000000082 2013-07-2426.31999969426.5100002
0000000000032.7534.36000061035000000365 2013-07-2533.54000091534.3600006
33.560001373291034.00999832153000000136 2013-07-2633.77000045734.0099983
34.009998321533235.43000030517000000124 2013-07-2934.06999969435.4300003
35.319999694824237.63000106811000000173 2013-07-3035.65000152537.6300010
36.330001831054636.79999923706000000154 2013-07-3137.95999908436.7999992
36.919998168945337.49000167846000000106 2013-08-0137.29999923737.4900016
00000000000037.538.04999923706000000073 2013-08-0237.65999984738.0499992
0000000000038.2539.18999862670000000079 2013-08-0538.43000030539.1899986
37.939998626708938.54999923706000000063 2013-08-0639.11000061038.5499992
37.700000762939438.86999893188000000068 2013-08-0738.61000061038.8699989
38.430000305175738.54000091552000000041 2013-08-0839.13000106838.5400009
38.0099983215332000000000038.5000000043 2013-08-0938.59000015200000038.5
38.099998474121038.22000122070000000031 2013-08-1238.20000076238.2200012
36.770000457763637.02000045776000000065 2013-08-1338.24000167837.0200004
36.619998931884736.65000152587000000048 2013-08-1436.83000183136.6500015
36.020000457763636.56000137329000000056 2013-08-1536.36000061036.5600013
36.900001525878937.08000183105000000045 2013-08-1636.97000122037.0800018
37.139999389648437.81000137329000000057 2013-08-1937.43000030537.8100013
37.689998626708938.40999984741000000057 2013-08-2038.34999847438.4099998
38.150001525878938.31999969482000000046 2013-08-2138.38000106838.3199996
38.340000152587838.54999923706000000021 2013-08-2238.36999893138.5499992
38.930000305175740.54999923706000000086 2013-08-2300000000003940.5499992
40.619998931884741.34000015258000000094 2013-08-2640.90000152541.3400001
39.419998168945339.63999938964000000072 2013-08-2740.68000030539.6399993
39.880001068115240.54999923706000000057 2013-08-2839.95999908440.5499992
40.799999237060541.27999877929000000058 2013-08-2940.88999938941.2799987
41.060001373291041.29000091552000000067 2013-08-3042.02000045741.2900009
41.509998321533241.86999893188000000048 2013-09-0341.84000015241.8699989
41.439998626708941.77999877929000000042 2013-09-0442.00999832141.7799987
41.770000457763642.65999984741000000050 2013-09-0541.79000091542.6599998
42.400001525878943.95000076293000000117 2013-09-0643.09000015243.9500007
43.700000762939444.04000091552000000075 2013-09-0944.36000061044.0400009
43.229999542236343.59999847412000000054 2013-09-1044.24000167843.5999984
43.110000610351545.04000091552000000072 2013-09-1143.38999938945.0400009
44.650001525878900000000044.75000000068 2013-09-1245.5299987790000044.75
43.930000305175744.31000137329000000052 2013-09-1345.04000091544.3100013
42.430000305175742.50999832153000000070 2013-09-1644.84999847442.5099983
42.430000305175745.06999969482000000091 2013-09-170000000042.545.0699996
44.400001525878945.22999954223000000079 2013-09-1844.84000015245.2299995
45.229999542236345.97999954223000000063 2013-09-1945.50999832145.9799995
45.740001678466847.49000167846000000115 2013-09-2046.31999969447.4900016
46.290000915527347.18999862670000000075 2013-09-2347.27999877947.1899986
48.159999847412148.45000076293000000136 2013-09-2448.50999832148.4500007
48.459999084472649.45999908447000000087 2013-09-2549.22999954249.4599990
00000000000049.550.38999938964000000098 2013-09-2650.00999832150.3899993
49.860000610351551.24000167846000000081 2013-09-2750.29000091551.2400016
49.799999237060550.22999954223000000100 2013-09-3050.13999938950.2299995
49.450000762939450.41999816894000000098 2013-10-0149.97000122050.4199981
49.950000762939450.27999877929000000062 2013-10-0250.13000106850.2799987
49.060001373291049.18000030517000000082 2013-10-0350.47000122049.1800003
49.569999694824251.04000091552000000074 2013-10-0449.77000045751.0400009
50.400001525878950.52000045776000000057 2013-10-0750.72999954250.5200004
47.080001831054647.13999938964000000136 2013-10-0850.59999847447.1399993
45.259998321533246.77000045776000000147 2013-10-0947.38000106846.7700004
47.830001831054649.04999923706000000099 2013-10-1047.86999893149.0499992
48.790000915527349.11000061035000000058 2013-10-1149.18000030549.1100006
47.909999847412149.50999832153000000068 2013-10-1448.31000137349.5099983
49.1800003051757000000000049.5000000081 2013-10-1549.99000167800000049.5
49.900001525878951.13999938964000000064 2013-10-1650.04000091551.1399993
