00000001.13281250.010898447595000000000 1963-01-180000000000001.13867187
000001.1386718750.011010602116000000000 1963-01-210000000000001.15039062
00000001.13281250.010917141102000000000 1963-01-22000000000000001.140625
000000001.1406250.010954525321000000000 1963-01-230000000000001.14453125
0000001.128906250.010804979130000000000 1963-01-240000000000001.12890625
000001.1308593750.010954525321000000000 1963-01-250000000000001.14453125
00000001.14843750.011029304005000000000 1963-01-280000000000001.15234375
0000001.144531250.011066687293000000000 1963-01-290000000000000001.15625
0000001.121093750.010767591185000000000 1963-01-30000000000000000001.125
000001.1191406250.010954525321000000000 1963-01-310000000000001.14453125
000001.1464843750.010991908609000000000 1963-02-0100000000000001.1484375
000001.1425781250.010991908609000000000 1963-02-0400000000000001.1484375
000001.1425781250.010991908609000000000 1963-02-0500000000000001.1484375
0000001.152343750.011066687293000000000 1963-02-060000000000000001.15625
0000000001.156250.011104072444000000000 1963-02-070000000000001.16015625
0000001.144531250.010991908609000000000 1963-02-0800000000000001.1484375
000001.1503906250.011066687293000000000 1963-02-110000000000000001.15625
0000000001.156250.011104072444000000000 1963-02-120000000000001.16015625
0000000001.156250.011160152964000000000 1963-02-130000000000001.16601562
000001.1582031250.011122763156000000000 1963-02-140000000000001.16210937
000001.1582031250.011104072444000000000 1963-02-150000000000001.16015625
000001.1582031250.011160152964000000000 1963-02-180000000000001.16601562
0000001.152343750.011029304005000000000 1963-02-190000000000001.15234375
000001.1464843750.010991908609000000000 1963-02-2000000000000001.1484375
000000000001.1250.010767591185000000000 1963-02-21000000000000000001.125
000001.1152343750.010692814365000000000 1963-02-2500000000000001.1171875
000001.1191406250.010711504146000000000 1963-02-260000000000001.11914062
0000001.113281250.010692814365000000000 1963-02-2700000000000001.1171875
000001.1035156250.010618035681000000000 1963-02-28000000000000001.109375
000001.0878906250.010431101545000000000 1963-03-010000000000001.08984375
0000001.089843750.010711504146000000000 1963-03-040000000000001.11914062
00000001.11718750.010804979130000000000 1963-03-050000000000001.12890625
000000001.1093750.010655432008000000000 1963-03-060000000000001.11328125
000000001.1093750.010618035681000000000 1963-03-07000000000000001.109375
0000001.105468750.010655432008000000000 1963-03-080000000000001.11328125
00000001.10156250.010580645874000000000 1963-03-110000000000001.10546875
